CODIGO|NOME|ESTADO
0474|DEAS – DEPARTAMENTO ESTADUAL DE ÁGUA E SANEAMENTO DO ACRE|AC
0873|PREFEITURA MUNICIPAL DE ASSIS BRASIL|AC
0390|SAERB –SERVICO DE AGUA E ESGOTO DE RIO BRANCO|AC
0104|SANACRE -  CIA SANEAMENTO DO ESTADO DO ACRE |AC
1323|CAEC - COMPANHIA DE ABASTECIMENTO DE AGUA E ESGOTO SANITARIO DE CHÃ PRETA|AL
0012|CASAL - CIA. ABASTECIMENTO ÁGUA E SANEAMENTO DE ALAGOAS|AL
1351|CASAL - CIA. ABASTECIMENTO ÁGUA E SANEAMENTO DE ALAGOAS - PPP|AL
1000|COMPANHIA DE ÁGUA E ESGOTO DE PILAR|AL
1475|COMPANHIA DE SANEAMENTO DE ALAGOAS|AL
1001|PREFEITURA MUNICIPAL DE CORURIPE|AL
0948|PREFEITURA MUNICIPAL DE JAPARATINGA|AL
0659|PREFEITURA MUNICIPAL DE PORTO CALVO|AL
1287|PREFEITURA MUNICIPAL DE SÃO LUIZ DO QUITUNDE|AL
0588|SAAE - ATALAIA|AL
0589|SAAE - BARRA DE SANTO ANTONIO|AL
0590|SAAE - BOCA DA MATA|AL
0591|SAAE - BRANQUINHA|AL
0592|SAAE - CAJUEIRO|AL
0593|SAAE - FELIZ DESERTO|AL
1228|SAAE - IBATEGUARA|AL
0594|SAAE - LIMOEIRO  DE ANADIA|AL
1286|SAAE - MARAGOGI |AL
0595|SAAE - MARECHAL DEODORO|AL
0596|SAAE - PÃO DE AÇUCAR|AL
0597|SAAE - PENEDO|AL
0598|SAAE - PORTO REAL DO COLÉGIO|AL
0599|SAAE - ROTEIRO|AL
0600|SAAE - SANTANA DO MUNDAÚ|AL
0601|SAAE - SÃO JOSÉ DA LAGE|AL
0602|SAAE - SÃO MIGUEL DOS CAMPOS|AL
1071|SAAE - SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE CAMPO ALEGRE|AL
1261|SAAE - SERVIÇO AUTONOMO DE AGUA E ESGOTO JEQUIÁ DA PRAIA|AL
1233|SAAE - SERVIÇO AUTONOMO DE AGUA E ESGOTO VICOSA|AL
1229|SAAE - TEOTONIO VILELA|AL
0603|SAAE - UNIÃO DOS PALMARES|AL
0604|SAAE - VIÇOSA|AL
0470|SAAE SÃO MIGUEL DOS CAMPOS|AL
1488|SANAMA-SANEAMENTO ALTA MACEIO|AL
0477|ÁGUAS DO AMAZONAS S.A|AM
1160|CAESC - COMPANHIA DE ÁGUA, ESGOTO E SANEAMENTO BÁSICO DE COARI|AM
0915|COMPANHIA HUMAITAENSE DE ÁGUAS E SANEAMENTO BÁSICO - COHASB|AM
0021|COSAMA - CIA. DE SANEAMENTO DO AMAZONAS|AM
0876|DAE - PREFEITURA DO MUNICÍPIO DE LÁBREA|AM
1197|PREFEITURA MUNICIPAL DE ANAMÃ|AM
1315|PREFEITURA MUNICIPAL DE APUÍ|AM
0878|PREFEITURA MUNICIPAL DE CAREIRO|AM
0852|PREFEITURA MUNICIPAL DE IPIXUNA|AM
0820|PREFEITURA MUNICIPAL DE ITAPIRANGA|AM
1041|PREFEITURA MUNICIPAL DE MAUÉS|AM
1201|PREFEITURA MUNICIPAL DE NHAMUNDA|AM
0786|PREFEITURA MUNICIPAL DE NOVA OLINDA DO NORTE|AM
0909|PREFEITURA MUNICIPAL DE NOVO ARIPUANÃ|AM
0963|PREFEITURA MUNICIPAL DE SÃO GABRIEL DA CACHOEIRA|AM
1483|PREFEITURA MUNICIPAL DE SILVES|AM
0556|SAAE - AMATURA|AM
0557|SAAE - BARCELOS|AM
0497|SAAE - BARREIRINHA|AM
0558|SAAE - BOA VISTA DO RAMOS|AM
0493|SAAE - ITACOATIARA|AM
0676|SAAE - MANACAPURU|AM
0494|SAAE - MAUÉS|AM
0498|SAAE - PARINTINS|AM
0499|SAAE - PRESIDENTE FIGUEIREDO|AM
0853|SAAE - RIO PRETO DA EVA|AM
0974|SAAE - SANTA ISABEL DO RIO NEGRO|AM
0559|SAAE - SÃO SEBASTIÃO DO UATUMÃ|AM
1086|SAAE - SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE IRANDUBA|AM
0787|SAAE - SERVIÇO AUTONÔMO DE ÁGUA E ESGOTO DE TEFÉ|AM
0560|SAAE - TONANTINS|AM
0561|SAAE - UARINI|AM
0495|SAAE - URUCARÁ|AM
1073|SEMAA - SERVIÇO MUNICIPAL DE ABASTECIMENTO DE ÁGUA DE FONTE BOA|AM
1198|SISTEMA  AUTONOMO DE ÁGUA E ESGOTO - SISAGUA - MANICORÉ|AM
0007|CAESA - CIA. ÁGUA E ESGOTO DO AMAPÁ|AP
1092|ACAL - ASSOCIAÇÃO COMUNITÁRIA E ASSISTENCIAL DE LAGES|BA
1182|ASSOCIAÇÃÓ DOS PEQUENOS PRODUTORES RURAIS DA REGIÃO DE BREJÃO DA GROTA - MUNICIPIO ANTONIO GONÇALVES|BA
1419|CENTRAL DAS AGUAS-CENTRAL DE ASSOC. COMUNITÁRIAS PARA MANUTENÇÃO DE SIST. ABASTECIMENTO DE AGUA|BA
1165|CORSAN – CORRENTE  SANEAMENTO LTDA DE SANTANA|BA
0046|EMASA - EMPRESA MUNICIPAL DE ÀGUA E SANEAMENTO-ITABUNA |BA
0047|EMBASA - EMPRESA BAIANA DE ÀGUA E SANEAMENTO |BA
1207|EMPRESA BAIANA DE ÁGUAS E SANEAMENTO-EMBASA|BA
1221|EMSAE - EMPRESA MUNICIPAL DE SERVIÇOS DE ÁGUA E ESGOTO - SOBRADINHO|BA
1096|FUNDO MUNICIPAL DE MEIO AMBIENTE - PORTO SEGURO |BA
1141|PREFEITURA DO MUNICÍPIO DE ARACI|BA
1317|PREFEITURA MUNICIPAL DE ARAÇAS |BA
1049|PREFEITURA MUNICIPAL DE BROTAS DE MACAUBAS|BA
1050|PREFEITURA MUNICIPAL DE IPUPIARA|BA
1051|PREFEITURA MUNICIPAL DE SANTA LUZIA|BA
0981|PREFEITURA MUNICIPAL DE URANDI|BA
0129|SAAE - ALAGOINHAS|BA
0192|SAAE - APUAREMA|BA
0193|SAAE - BARRA|BA
0131|SAAE - BOM JESUS DA LAPA |BA
0299|SAAE - BOQUIRA|BA
0194|SAAE - BURITIRAMA|BA
0195|SAAE - CAMAÇARI|BA
0196|SAAE - CARINHANHA|BA
0197|SAAE - CASA NOVA|BA
0198|SAAE - CATOLÂNDIA|BA
0199|SAAE - CATU|BA
0544|SAAE - COCOS|BA
0202|SAAE - COREGIPE|BA
0200|SAAE - CORIBE|BA
0201|SAAE - CORRENTINA|BA
0203|SAAE - CURAÇA|BA
1478|SAAE - CURAÇÁ|BA
0874|SAAE - CURUÇA|BA
0818|SAAE - DOM BASÍLIO |BA
0204|SAAE - ERICO CARDOSO|BA
0205|SAAE - FEIRA DA MATA|BA
0206|SAAE - GÂNDU|BA
0207|SAAE - IBICARAÍ|BA
0208|SAAE - IGAPORÃ|BA
0546|SAAE - ITAGUAGU DA BAHIA|BA
0209|SAAE - ITAJUÍPE|BA
0134|SAAE - ITAPETINGA|BA
0210|SAAE - ITORORÓ|BA
0211|SAAE - JOBORANDI|BA
0135|SAAE - JUAZEIRO|BA
0155|SAAE - JUSSARI|BA
0545|SAAE - JUSSIAPÉ|BA
0548|SAAE - LOMANTO JUNIOR|BA
0212|SAAE - MACARANI|BA
0213|SAAE - MACAÚBAS|BA
0300|SAAE - MATINA|BA
0998|SAAE - MUCUGÊ |BA
0547|SAAE - OLIVEIRA DOS BREJINHOS|BA
0214|SAAE - PALMAS DE MONTE ALTO|BA
0215|SAAE - PARATINGA|BA
0216|SAAE - PILÃO ARCADO|BA
0308|SAAE - PINDOBAÇU|BA
