CODIGO|NOME|ESTADO
0000|SÃO PAULO|SP
0001|ABADIA DOS DOURADOS|MG
0002|ABADIANIA|GO
0003|ABAETE|MG
0004|ABAETETUBA|PA
0005|ABAIARA|CE
0006|ABAIRA|BA
0007|ABARE|BA
0008|ABATIA|PR
0009|ABDON BATISTA|SC
0010|ABELARDO LUZ|SC
0011|ABRE CAMPO|MG
0012|ABREU E LIMA|PE
0013|ABREULANDIA|TO
0014|ACAIACA|MG
0015|AÇAILÂNDIA|MA
0016|ACAJUTIBA|BA
0017|ACARA|PA
0018|ACARAPE|CE
0019|ACARAU|CE
0020|ACARI|RN
0021|ACAU|PB
0022|ACOPIARA|CE
0023|ACORIZAL|MT
0024|ACREUNA|GO
0025|AÇU|RN
0026|AÇUCENA|MG
0027|ADAMANTINA|SP
0028|ADELANDIA|GO
0029|ADOLFO|SP
0030|ADRIANPÓPOLISI|PR
0031|ADUSTINA|BA
0032|AFOGADOS DA INGAZEIRA|PE
0033|AFONSO BEZERRA|RN
0034|AFONSO CLAUDIO|ES
0035|AFONSO CUNHA|MA
0036|AFRÂNIO|PE
0037|AFUÁ|PA
0038|AGRESTINA|PE
0039|AGRICOLÂNDIA|PI
0040|AGROLÂNDIA|SC
0041|AGRONÔMICA|SC
0042|ÁGUA BOA|MG
0043|ÁGUA BOA|MT
0044|ÁGUA BRANCA|PB
0045|ÁGUA BRANCA|AL
0046|ÁGUA BRANCA|PI
0047|ÁGUA CLARA|MS
0048|ÁGUA COMPRIDA|MG
0049|ÁGUA DOCE|SC
0050|ÁGUA DOCE DO NORTE|ES
0051|ÁGUA FRIA|BA
0052|ÁGUA FRIA DE GOIAS|GO
0053|ÁGUA LIMPA|GO
0054|ÁGUA NOVA|RN
0055|ÁGUA PRETA|PE
0056|ÁGUA SANTA|RS
0057|AGUAÍ|SP
0058|AGUANIL|MG
0059|AGUAS BELAS|PE
0060|ÁGUAS DA PRATA|SP
0061|AGUAS DE CHAPECO|SC
0062|ÁGUAS DE LINDÓIA|SP
0063|AGUAS DE SANTA BARBARA|SP
0064|AGUAS DE SÃO PEDRO|SP
0065|AGUAS FORMOSAS|MG
0066|AGUAS MORNAS|SC
0067|AGUAS VERMELHAS|MG
0068|AGUDO|RS
0069|AGUDOS|SP
0070|AGUDOS DO SUL|PR
0071|AGUIA BRANCA|ES
0072|AGUIAR|PB
0073|AIMORES|MG
0074|AIQUARA|BA
0075|AIUABA|CE
0076|AIURUOCA|MG
0077|AJURICABA|RS
0078|ALAGOA|MG
0079|ALAGOA GRANDE|PB
0080|ALAGOA NOVA|PB
0081|ALAGOINHA|PE
0082|ALAGOINHA|PB
0083|LAGOINHA DO PIAUI|PI
0084|SUPERINTENDENCIA MUNICIPAL DE TRANSPORTE E TRANSITO DE ALAGOINHAS|BA
0085|ALAMBARI|SP
0086|ALBERTINA|MG
0087|ALCANTARA|MA
0088|ALCANTARAS|CE
0089|ALCOBACA|BA
0090|ALDEIAS ALTAS|MA
0091|ALECRIM|RS
0092|ALEGRE|ES
0093|ALEGRETE|RS
0094|ALEGRETE|PI
0095|ALEGRIA|RS
0096|ALEM PARAIBA|MG
0097|ALENQUER|PA
0098|ALEXANDRIA|RN
0099|ALEXANIA|GO
0100|ALFENAS|MG
0101|ALFREDO CHAVES|ES
0102|ALFREDO MARCONDES|SP
0103|ALFREDO WAGNER|SC
0104|ALGODÃO DE JANDIRA|PB
0105|ALHANDRA|PB
0106|ALIANCA|PE
0107|ALIANCA DO TOCANTINS|TO
0108|ALMADINA|BA
0109|ALMAS|TO
0110|ALMEIRIM|PA
0111|ALMENARA|MG
0112|ALMINO AFONSO|RN
0113|ALMIRANTE TAMANDARE|PR
0114|ALOANDIA|GO
0115|ALPERCATA|MG
0116|ALPESTRE|RS
0117|ALPINÓPOLIS|MG
0118|ALTA FLORESTA|MT
0119|ALTA FLORESTA DO OESTE|RO
0120|ALTAIR|SP
0121|ALTAMIRA|PA
0122|ALTAMIRA DO MARANHAO|MA
0123|ALTAMIRA DO PARANA|PR
0124|ALTANEIRA|CE
0125|ALTEROSA|MG
0126|ALTINHO|PE
0127|ALTINÓPOLIS|SP
0128|ALTO ALEGRE|SP
0129|ALTO ALEGRE|RR
0130|ALTO ALEGRE|RS
0131|ALTO ARAGUAIA|MT
0132|ALTO DO RODRIGUES|RN
0133|ALTO GARÇAS|MT
0134|ALTO LONGA|PI
0135|ALTO PARAGUAI|MT
0136|ALTO PARAISO|RO
0137|ALTO PARAISO DE GOIAS|GO
0138|ALTO PARANA|PR
0139|ALTO PARNAIBA|MA
0140|ALTO PIQUIRI|PR
0141|ALTO RIO DOCE|MG
0142|ALTO RIO NOVO|ES
0143|ALTO SANTO|CE
0144|ALTO TAQUARI|MT
0145|ALTONIA|PR
0146|ALTOS|PI
0147|ALUMINIO|SP
0148|ALVARAES|AM
0149|ALVARENGA|MG
0150|ALVARES FLORENCE|SP
0151|ALVARES MACHADO|SP
0152|ALVARO DE CARVALHO|SP
0153|ALVINLANDIA|SP
0154|ALVINOPOLIS|MG
0155|ALVORADA|RS
0156|ALVORADA|TO
0157|ALVORADA DE MINAS|MG
0158|ALVORADA DO GURGUEIA|PI
0159|ALVORADA DO NORTE|GO
0160|ALVORADA DO OESTE|RO
0161|ALVORADA DO SUSL|PR
0162|AMAMBAIMS|MS
0163|AMAPÁ|AP
0164|AMAPORA|PR
0165|AMARAJI|PE
0166|AMARAL FERRADOR|RS
0167|AMARANTE|PI
0168|AMARANTE DO MARANHAO|MA
0169|AMARGOSA|BA
0170|AMATARI|AM
0171|AMATURA|AM
0172|AMELIA RODRIGUES|BA
0173|AMERICA DOURADA|BA
0174|AMERICANA|SP
0175|AMERICANO DO BRASIL|GO
0176|AMERICO BRASILIENSE|SP
0177|AMERICO DE CAMPOS|SP
0178|AMONTADA|CE
0179|AMORINOPOLIS|GO
0180|AMPARO|SP
0181|AMPARO|PB
0182|AMPARO DA SERRA|MG
0183|AMPARO DE SAO FRANCISCO|SE
0184|AMPERE|PR
0185|ANADIA|AL
0186|ANAGE|BA
0187|ANAHY|PR
0188|ANAJAS|PA
0189|ANAJATUBA|MA
0190|ANALANDIA|SP
0191|ANAMA|AM
0192|ANANAS|TO
0193|ANANINDEUA|PA
0194|ANÁPOLIS|GO
0195|ANAPURUS|MA
0196|ANASTACIO|MS
0197|ANAURILANDIA|MS
0198|ANCHIETA|ES
0199|ANCHIETA|SC
0200|ANDARAI|BA
0201|ANDIRA|PR
